,Record_ID,Year,Month,Day,Decimal_latitude,Decimal_longitude,Country,Location,Depth,Replicate,Coris_julis,Epinephelus_marginatus,Fistularia_commersonii,Serranus_cabrilla,Sparisoma_cretense,Siganus_luridus,Siganus_rivulatus,Sarpa_salpa,Serranus_scriba,Thalassoma_pavo,Pterois_miles,Stephanolopis_diaspros,Parupeneus_forskali,Pempheris_rhomboidea,Torquigener_flavimaculosus
11,57,2010,10,3.0,41.67093,9.38553,FR,Capu di Fora,1_3,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0
12,65,2010,10,2.0,41.6894,9.392622,FR,La Vardiola,1_3,1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0
13,73,2010,10,3.0,41.640919,9.372925,FR,Punta Arasu,1_3,1,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0
14,81,2011,8,20.0,43.482667,16.321056,HR,Ciovo Jug,1_3,1,45.0,0.0,0.0,1.0,0.0,0.0,0.0,55.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
15,82,2011,8,29.0,43.482667,16.321056,HR,Ciovo Jug,1_3,1,32.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
16,84,2011,8,29.0,43.482667,16.321056,HR,Ciovo Jug,1_3,2,47.0,0.0,0.0,1.0,0.0,0.0,0.0,41.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
17,86,2011,8,29.0,43.482667,16.321056,HR,Ciovo Jug,1_3,3,31.0,0.0,0.0,1.0,0.0,0.0,0.0,46.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
18,88,2011,8,29.0,43.482667,16.321056,HR,Ciovo Jug,1_3,4,33.0,0.0,0.0,2.0,0.0,0.0,0.0,55.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
19,89,2011,8,20.0,43.489667,16.385611,HR,Ciovo Punta,1_3,1,18.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
20,90,2011,8,29.0,43.489667,16.385611,HR,Ciovo Punta,1_3,1,24.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
21,92,2011,8,29.0,43.489667,16.385611,HR,Ciovo Punta,1_3,2,22.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
22,94,2011,8,29.0,43.489667,16.385611,HR,Ciovo Punta,1_3,3,17.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
23,96,2011,8,29.0,43.489667,16.385611,HR,Ciovo Punta,1_3,4,21.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
24,97,2011,8,20.0,43.507528,16.389361,HR,Marjan,1_3,1,9.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
25,98,2011,8,29.0,43.507528,16.389361,HR,Marjan,1_3,1,11.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
26,100,2011,8,29.0,43.507528,16.389361,HR,Marjan,1_3,2,10.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
27,102,2011,8,29.0,43.507528,16.389361,HR,Marjan,1_3,3,11.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
28,104,2011,8,29.0,43.507528,16.389361,HR,Marjan,1_3,4,7.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
29,105,2011,9,17.0,41.67093,9.38553,FR,Capu di Fora,1_3,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
30,113,2011,9,16.0,41.6894,9.392622,FR,La Vardiola,1_3,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0
31,121,2011,9,16.0,41.640919,9.372925,FR,Punta Arasu,1_3,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
32,129,2011,9,15.0,43.482667,16.321056,HR,Ciovo Jug,1_3,1,40.0,0.0,0.0,1.0,0.0,0.0,0.0,51.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
33,133,2011,9,15.0,43.489667,16.385611,HR,Ciovo Punta,1_3,1,23.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
34,137,2011,9,15.0,43.507528,16.389361,HR,Marjan,1_3,1,14.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
35,141,2011,9,10.0,35.9887,14.327666,MT,Cirkewa,1_3,1,5.0,3.0,0.0,0.0,4.0,0.0,0.0,36.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0
36,145,2011,9,10.0,35.9887,14.327666,MT,Cirkewa,11_20,1,5.0,1.0,0.0,1.0,0.0,0.0,0.0,25.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
37,149,2011,9,10.0,35.9887,14.327666,MT,Cirkewa,21_30,1,5.0,1.0,0.0,1.0,0.0,0.0,0.0,50.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
38,153,2011,9,10.0,35.9887,14.327666,MT,Cirkewa,5_10,1,2.0,2.0,0.0,0.0,4.0,0.0,0.0,38.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0
39,157,2011,9,17.0,36.0531,14.188566,MT,Dwejra,1_3,1,4.0,0.0,0.0,2.0,9.0,0.0,0.0,6.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0
40,161,2011,9,17.0,36.0531,14.188566,MT,Dwejra,11_20,1,8.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0
41,165,2011,9,17.0,36.0531,14.188566,MT,Dwejra,21_30,1,8.0,5.0,0.0,0.0,4.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
42,169,2011,9,17.0,36.0531,14.188566,MT,Dwejra,5_10,1,6.0,0.0,0.0,0.0,5.0,0.0,0.0,9.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0
43,173,2011,9,23.0,35.923983,14.3366,MT,Gnejna,1_3,1,3.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
44,177,2011,9,23.0,35.923983,14.3366,MT,Gnejna,5_10,1,6.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
45,181,2011,10,6.0,35.923983,14.3366,MT,Gnejna,11_20,1,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
46,185,2011,10,6.0,35.923983,14.3366,MT,Gnejna,21_30,1,9.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
47,189,2011,11,20.0,39.954319,23.684758,GR,Kakia Skala,1_3,1,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
48,193,2011,11,20.0,39.954319,23.684758,GR,Kakia Skala,11_20,1,7.0,2.0,0.0,2.0,0.0,0.0,0.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
49,197,2011,11,20.0,39.954319,23.684758,GR,Kakia Skala,21_30,1,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,201,2011,11,20.0,39.954319,23.684758,GR,Kakia Skala,5_10,1,13.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
51,205,2011,11,28.0,39.967461,23.679744,GR,Xenia,1_3,1,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
52,209,2011,11,28.0,39.967461,23.679744,GR,Xenia,11_20,1,4.0,3.0,0.0,1.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
53,213,2011,11,28.0,39.967461,23.679744,GR,Xenia,21_30,1,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,217,2011,11,28.0,39.967461,23.679744,GR,Xenia,5_10,1,12.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
55,221,2011,12,2.0,39.958591,23.682322,GR,Dokos,1_3,1,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
56,225,2011,12,2.0,39.958591,23.682322,GR,Dokos,11_20,1,2.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
57,229,2011,12,2.0,39.958591,23.682322,GR,Dokos,21_30,1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,233,2011,12,2.0,39.958591,23.682322,GR,Dokos,5_10,1,11.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
59,237,2012,7,9.0,35.9887,14.327666,MT,Cirkewa,1_3,1,6.0,0.0,0.0,0.0,9.0,0.0,0.0,10.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0
60,241,2012,7,9.0,35.9887,14.327666,MT,Cirkewa,11_20,1,10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
61,245,2012,7,9.0,35.9887,14.327666,MT,Cirkewa,21_30,1,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
62,249,2012,7,9.0,35.9887,14.327666,MT,Cirkewa,5_10,1,6.0,0.0,0.0,0.0,10.0,0.0,0.0,7.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0
63,253,2012,7,20.0,36.0531,14.188566,MT,Dwejra,1_3,1,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0
64,257,2012,7,20.0,36.0531,14.188566,MT,Dwejra,11_20,1,10.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0
65,261,2012,7,20.0,36.0531,14.188566,MT,Dwejra,21_30,1,8.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
66,265,2012,7,20.0,36.0531,14.188566,MT,Dwejra,5_10,1,4.0,0.0,0.0,0.0,10.0,0.0,0.0,17.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0
67,269,2012,7,24.0,35.923983,14.3366,MT,Gnejna,1_3,1,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
68,273,2012,7,24.0,35.923983,14.3366,MT,Gnejna,11_20,1,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0
69,277,2012,7,24.0,35.923983,14.3366,MT,Gnejna,21_30,1,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
70,281,2012,7,24.0,35.923983,14.3366,MT,Gnejna,5_10,1,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
71,285,2012,8,28.0,42.347393,3.212492,ES,Cala Cativa,1_3,1,31.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
72,289,2012,8,23.0,42.344682,3.202059,ES,Les Clisques,1_3,1,22.0,0.0,0.0,2.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,297,2012,8,24.0,42.350778,3.18471,ES,Sarnella,1_3,1,11.0,0.0,0.0,13.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,305,2012,8,24.0,42.345486,3.20917,ES,Tamariua,1_3,1,20.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,313,2012,8,2.0,44.082222,9.883333,IT,Baia Blu,1_3,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
76,321,2012,8,1.0,44.048888,9.831111,IT,Porto Venere,1_3,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
77,327,2012,8,3.0,44.060555,9.925277,IT,Tellaro,1_3,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
78,335,2012,8,10.0,35.9887,14.327666,MT,Cirkewa,1_3,1,6.0,0.0,0.0,0.0,3.0,0.0,0.0,14.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0
79,339,2012,8,10.0,35.9887,14.327666,MT,Cirkewa,11_20,1,4.0,0.0,0.0,0.0,10.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
80,343,2012,8,10.0,35.9887,14.327666,MT,Cirkewa,21_30,1,6.0,1.0,0.0,3.0,3.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
81,347,2012,8,10.0,35.9887,14.327666,MT,Cirkewa,5_10,1,4.0,0.0,0.0,0.0,4.0,0.0,0.0,19.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0
82,351,2012,8,4.0,36.0531,14.188566,MT,Dwejra,1_3,1,4.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0
83,355,2012,8,4.0,36.0531,14.188566,MT,Dwejra,11_20,1,6.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
84,359,2012,8,4.0,36.0531,14.188566,MT,Dwejra,21_30,1,8.0,1.0,0.0,2.0,6.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
85,363,2012,8,4.0,36.0531,14.188566,MT,Dwejra,5_10,1,4.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0
86,367,2012,8,22.0,35.923983,14.3366,MT,Gnejna,1_3,1,6.0,0.0,0.0,0.0,16.0,1.0,0.0,16.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0
87,371,2012,8,22.0,35.923983,14.3366,MT,Gnejna,11_20,1,6.0,0.0,0.0,0.0,10.0,0.0,0.0,25.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
88,375,2012,8,22.0,35.923983,14.3366,MT,Gnejna,21_30,1,8.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0
89,379,2012,8,22.0,35.923983,14.3366,MT,Gnejna,5_10,1,3.0,0.0,0.0,0.0,8.0,2.0,2.0,10.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0
90,383,2012,9,22.0,41.67093,9.38553,FR,Capu di Fora,1_3,1,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
91,391,2012,9,21.0,41.6894,9.392622,FR,La Vardiola,1_3,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0
92,399,2012,9,23.0,41.640919,9.372925,FR,Punta Arasu,1_3,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
93,407,2012,9,15.0,43.482667,16.321056,HR,Ciovo Jug,1_3,1,12.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
94,408,2012,9,26.0,43.482667,16.321056,HR,Ciovo Jug,1_3,1,12.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
95,410,2012,9,26.0,43.482667,16.321056,HR,Ciovo Jug,1_3,2,13.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
96,412,2012,9,26.0,43.482667,16.321056,HR,Ciovo Jug,1_3,3,22.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
97,414,2012,9,26.0,43.482667,16.321056,HR,Ciovo Jug,1_3,4,25.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
98,415,2012,9,15.0,43.489667,16.385611,HR,Ciovo Punta,1_3,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
99,416,2012,9,26.0,43.489667,16.385611,HR,Ciovo Punta,1_3,1,21.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
100,418,2012,9,26.0,43.489667,16.385611,HR,Ciovo Punta,1_3,2,24.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
101,420,2012,9,26.0,43.489667,16.385611,HR,Ciovo Punta,1_3,3,22.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
102,422,2012,9,26.0,43.489667,16.385611,HR,Ciovo Punta,1_3,4,19.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
103,423,2012,9,15.0,43.507528,16.389361,HR,Marjan,1_3,1,8.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
104,424,2012,9,26.0,43.507528,16.389361,HR,Marjan,1_3,1,16.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
105,426,2012,9,26.0,43.507528,16.389361,HR,Marjan,1_3,2,12.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
106,428,2012,9,26.0,43.507528,16.389361,HR,Marjan,1_3,3,12.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
107,430,2012,9,26.0,43.507528,16.389361,HR,Marjan,1_3,4,14.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
108,431,2012,9,9.0,35.9887,14.327666,MT,Cirkewa,1_3,1,4.0,0.0,0.0,0.0,4.0,0.0,0.0,19.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0
109,435,2012,9,9.0,35.9887,14.327666,MT,Cirkewa,11_20,1,7.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
110,439,2012,9,9.0,35.9887,14.327666,MT,Cirkewa,21_30,1,7.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
111,443,2012,9,9.0,35.9887,14.327666,MT,Cirkewa,5_10,1,7.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0
112,447,2012,9,8.0,36.0531,14.188566,MT,Dwejra,1_3,1,2.0,0.0,0.0,0.0,7.0,0.0,0.0,6.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0
113,451,2012,9,8.0,36.0531,14.188566,MT,Dwejra,11_20,1,5.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
114,455,2012,9,8.0,36.0531,14.188566,MT,Dwejra,21_30,1,6.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
115,459,2012,9,8.0,36.0531,14.188566,MT,Dwejra,5_10,1,4.0,0.0,0.0,0.0,8.0,0.0,0.0,12.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0
116,463,2012,9,23.0,35.923983,14.3366,MT,Gnejna,1_3,1,5.0,0.0,0.0,0.0,10.0,0.0,0.0,17.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
117,467,2012,9,23.0,35.923983,14.3366,MT,Gnejna,11_20,1,6.0,0.0,0.0,1.0,5.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
118,471,2012,9,23.0,35.923983,14.3366,MT,Gnejna,21_30,1,6.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
119,475,2012,9,23.0,35.923983,14.3366,MT,Gnejna,5_10,1,6.0,0.0,0.0,0.0,7.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
120,479,2012,10,6.0,43.482667,16.321056,HR,Ciovo Jug,1_3,1,16.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
121,483,2012,10,6.0,43.489667,16.385611,HR,Ciovo Punta,1_3,1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
122,487,2012,10,6.0,43.507528,16.389361,HR,Marjan,1_3,1,11.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
123,491,2012,10,2.0,44.082222,9.883333,IT,Baia Blu,1_3,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
124,499,2012,10,25.0,44.060555,9.925277,IT,Tellaro,1_3,1,8.0,0.0,0.0,1.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,507,2012,10,,35.86413,12.882499,IT,Faraglioni di Linosa,1_3,1,2.0,0.0,0.0,0.0,12.0,0.0,0.0,4.0,2.0,32.0,0.0,0.0,0.0,0.0,0.0
126,511,2012,10,,35.87511,12.864366,IT,Mannarazza,1_3,1,0.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
127,515,2012,10,,35.862072,12.8529,IT,Pozzolana,1_3,1,0.0,0.0,0.0,0.0,12.0,0.0,0.0,10.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0
128,519,2013,7,13.0,35.9887,14.327666,MT,Cirkewa,1_3,1,4.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0
129,523,2013,7,13.0,35.9887,14.327666,MT,Cirkewa,11_20,1,4.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0
130,527,2013,7,13.0,35.9887,14.327666,MT,Cirkewa,21_30,1,10.0,0.0,0.0,2.0,4.0,0.0,0.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0
131,531,2013,7,13.0,35.9887,14.327666,MT,Cirkewa,5_10,1,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0
132,535,2013,7,14.0,36.0531,14.188566,MT,Dwejra,1_3,1,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
133,538,2013,7,14.0,36.0531,14.188566,MT,Dwejra,1_3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,540,2013,7,14.0,36.0531,14.188566,MT,Dwejra,1_3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,541,2013,7,14.0,36.0531,14.188566,MT,Dwejra,11_20,1,6.0,0.0,0.0,2.0,6.0,0.0,0.0,6.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0
136,545,2013,7,14.0,36.0531,14.188566,MT,Dwejra,21_30,1,7.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0
